name,k,draft_class,pick,rookie_season,debut_lag,g,mpg,y_pts,y_reb,y_ast,y_stl,y_blk,y_tov,y_fg3m,y_fgm,y_fga,y_ftm,y_fta
Bryce McGowens,bryce mcgowens,2022,40.0,2023,0,45,17.533333333333335,5.466666666666667,2.066666666666667,1.2,0.3333333333333333,0.13333333333333333,0.9555555555555556,0.5777777777777777,1.7777777777777777,4.488888888888889,1.3333333333333333,1.7777777777777777
Maxwell Lewis,maxwell lewis,2023,40.0,2024,0,35,2.914285714285714,0.3142857142857143,0.11428571428571428,0.17142857142857143,0.05714285714285714,0.02857142857142857,0.2857142857142857,0.02857142857142857,0.11428571428571428,0.6,0.05714285714285714,0.08571428571428572
Jarvis Varnado,jarvis varnado,2010,41.0,2013,2,13,4.538461538461538,0.6153846153846154,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.0,0.23076923076923078,0.5384615384615384,0.15384615384615385,0.3076923076923077
Tyshawn Taylor,tyshawn taylor,2012,41.0,2013,0,36,6.083333333333333,2.361111111111111,0.5,0.5833333333333334,0.3611111111111111,0.0,0.6944444444444444,0.16666666666666666,0.8888888888888888,2.4166666666666665,0.4166666666666667,0.75
Darius Morris,darius morris,2011,41.0,2012,0,19,8.947368421052632,2.4210526315789473,0.8421052631578947,1.105263157894737,0.10526315789473684,0.0,1.0,0.21052631578947367,0.9473684210526315,2.210526315789474,0.3157894736842105,0.47368421052631576
Jamaal Franklin,jamaal franklin,2013,41.0,2014,0,20,8.05,1.95,1.15,0.3,0.2,0.1,0.55,0.25,0.8,1.95,0.1,0.1
Pat Connaughton,pat connaughton,2015,41.0,2016,0,32,4.53125,1.125,1.0,0.3125,0.0625,0.0,0.3125,0.15625,0.40625,1.53125,0.15625,0.15625
Eric Paschall,eric paschall,2019,41.0,2020,0,60,27.566666666666666,13.95,4.583333333333333,2.1166666666666667,0.5333333333333333,0.21666666666666667,1.5666666666666667,0.6166666666666667,5.3,10.666666666666666,2.7333333333333334,3.533333333333333
Tyler Dorsey,tyler dorsey,2017,41.0,2018,0,56,17.464285714285715,7.232142857142857,2.3214285714285716,1.4107142857142858,0.30357142857142855,0.08928571428571429,0.6607142857142857,1.2857142857142858,2.5714285714285716,6.821428571428571,0.8035714285714286,1.125
Stephen Zimmerman Jr.,stephen zimmerman,2016,41.0,2017,0,19,5.7894736842105265,1.2105263157894737,1.8421052631578947,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.0,0.5263157894736842,1.631578947368421,0.15789473684210525,0.2631578947368421
