team,player,tier,injury,override_games,override_mpg
POR,Branden Carlson,reserve,none,40.0,14.0
POR,Chris Youngblood,fringe,none,15.0,8.0
POR,Damian Lillard,starter,none,61.0,30.0
POR,Deni Avdija,starter,none,73.0,33.0
POR,Didi Louzada,cut,none,,0.0
POR,Donovan Clingan,starter,none,70.0,29.0
POR,Ja Morant,starter,none,57.0,30.0
POR,Jayson Kent,fringe,none,15.0,8.0
POR,John Tonje,fringe,none,21.0,0.0
POR,Jrue Holiday,rotation,none,64.0,28.0
POR,Micah Potter,reserve,none,42.0,10.0
POR,Robert Williams III,rotation,none,49.0,17.0
POR,Scoot Henderson,rotation,none,64.0,24.0
POR,Shaedon Sharpe,rotation,none,60.0,25.0
POR,Sidy Cissoko,reserve,none,48.0,18.0
POR,Toumani Camara,starter,none,75.0,31.0
POR,Vit Krejci,rotation,none,62.0,17.0
POR,Yang Hansen,reserve,none,49.0,15.0
SAC,Adam Flagler,fringe,none,19.0,8.0
SAC,Alex Karaban,reserve,none,45.0,13.0
SAC,B.J. Edwards,cut,none,,
SAC,Daeqwon Plowden,reserve,none,60.0,9.0
SAC,Darius Acuff Jr.,starter,none,69.0,30.0
SAC,De'Andre Hunter,starter,none,62.0,30.0
SAC,Domantas Sabonis,starter,none,60.0,33.0
SAC,Dylan Cardwell,rotation,none,62.0,20.0
SAC,Emanuel Sharp,reserve,none,66.0,17.0
SAC,Jonathan Mogbo,fringe,none,22.0,13.0
SAC,Keegan Murray,starter,none,62.0,34.0
SAC,Killian Hayes,cut,none,,
SAC,Malik Monk,rotation,none,59.0,21.0
SAC,Maxime Raynaud,rotation,none,67.0,23.0
SAC,Nique Clifford,rotation,none,66.0,28.0
SAC,Patrick Baldwin Jr.,cut,none,,
SAC,Precious Achiuwa,rotation,none,66.0,24.0
SAC,Zach Lavine,starter,none,54.0,31.0
SAS,Carter Bryant,reserve,none,66.0,15.0
SAS,David Jones Garcia,cut,none,,
SAS,De'Aaron Fox,starter,none,68.0,31.0
SAS,Devin Vassell,starter,none,69.0,30.0
SAS,Dylan Harper,rotation,none,70.0,29.0
SAS,Emanuel Miller,fringe,none,,0.0
SAS,Harrison Barnes,rotation,none,65.0,16.0
SAS,Ja'Kobi Gillespie,fringe,none,,0.0
SAS,Jayden Quaintance,fringe,long_term,,0.0
SAS,Jordan McLaughlin,fringe,none,34.0,8.0
SAS,Julian Champagnie,rotation,none,73.0,26.0
SAS,Keldon Johnson,rotation,none,70.0,21.0
SAS,Luke Kornet,reserve,none,60.0,15.0
SAS,Maliq Brown,fringe,none,15.0,7.0
SAS,Stephon Castle,starter,none,70.0,31.0
SAS,Tarris Reed Jr.,rotation,none,56.0,15.0
SAS,Tobias Harris,starter,none,68.0,28.0
SAS,Victor Wembanyama,starter,none,65.0,31.0
TOR,Alijah Martin,reserve,none,44.0,12.0
TOR,Allen Graves,rotation,none,65.0,23.0
TOR,Chucky Hepburn,fringe,none,,9.0
TOR,Collin Murray-Boyles,starter,none,72.0,29.5
TOR,Immanuel Quickley,starter,none,,33.0
TOR,Ja'Kobe Walter,rotation,none,66.0,23.0
TOR,Jaden Bradley,fringe,none,,9.0
TOR,Jakob Poeltl,rotation,none,56.0,24.0
